PROPIEDAD,PAIS,CODIGO DANE,CIUDAD
Ciudad de Registro,Colombia,11001,Bogotá D.C.
Ciudad de Registro,Colombia,76001,Cali
Ciudad de Registro,Colombia,8001,Barranquilla
Ciudad de Registro,Colombia,17001,Manizales
Ciudad de Registro,Colombia,68001,Bucaramanga
Ciudad de Registro,Colombia,54001,Cucuta
Ciudad de Registro,Colombia,5001,Medellín
Ciudad de Registro,Mexico,55,México D.F.
Ciudad de Registro,Argentina,-1,Buenos Aires
Ciudad de Registro,Brasil,-1,Brasilia
Ciudad de Registro,Alemania,-1,Berlín
Ciudad de Registro,Bélgica,-1,Bruselas
Ciudad de Registro,Chile,-1,Santiago de Chile
Ciudad de Registro,China,-1,Pekín
Ciudad de Registro,Ecuador,-1,Quito
Ciudad de Registro,España,-1,Madrid
Ciudad de Registro,Estados Unidos,-1,Washington D. C.
Ciudad de Registro,Francia,-1,París
Ciudad de Registro,Italia,-1,Roma
Ciudad de Registro,Argentina,-1,La Plata