PROPIEDAD,ID RUNT,DESCRIPCIÃ“N
Marca,0,SIN MARCA
Marca,1,CHEVROLET
Marca,2,DAEWOO
Marca,3,FIAT
Marca,5,KIA
Marca,6,MAZDA
Marca,8,RENAULT
Marca,9,VOLKSWAGEN
Marca,10,DODGE
Marca,15,NISSAN
Marca,16,PEUGEOT
Marca,17,SUBARU
Marca,18,DATSUN
Marca,20,CADILLAC
Marca,21,HONDA
Marca,23,MITSUBISHI
Marca,24,PONTIAC
Marca,25,TOYOTA
Marca,26,VOLVO
Marca,27,ALFA ROMEO
Marca,28,BMW
Marca,29,FERRARI
Marca,30,MERCEDES BENZ
Marca,33,JAGUAR
Marca,34,DACIA
Marca,35,LADA
Marca,39,VOLGA
Marca,40,SKODA
Marca,41,CITROEN
Marca,42,DAIHATSU
Marca,49,ISUZU
Marca,50,JEEP
Marca,51,LAND ROVER
Marca,52,SUZUKI
Marca,53,CHRYSLER
Marca,54,FORD
Marca,91,GMC
Marca,112,HUALI
Marca,115,ROVER
Marca,127,MORRIS
Marca,136,SEAT
Marca,139,AUDI
Marca,142,ASTON MARTIN
Marca,146,CHECKER
Marca,150,BENTLEY
Marca,185,LAMBORGHINI
Marca,188,LOTUS
Marca,208,HYUNDAI
Marca,210,LEXUS
Marca,212,MINICORD
Marca,213,PEGASSO
Marca,214,PORSCHE
Marca,217,SSANGYONG
Marca,226,HUMMER
Marca,229,POLONEZ
Marca,235,MG
Marca,241,INFINITI
Marca,252,MAHINDRA
Marca,273,SMART
Marca,275,LIFAN
Marca,278,SAIC CHERY
Marca,281,CHANGAN
Marca,282,OKLAN
Marca,283,HAFEI
Marca,284,LINHAI
Marca,287,GEELY
Marca,288,CHANA
Marca,289,CHERY
Marca,294,SAIC WULING
Marca,302,CHANGHE
Marca,310,ACCURA
Marca,313,BYD
Marca,349,GREAT WALL
Marca,366,JAC
Marca,375,FOTON
Marca,388,JMC
Marca,391,COBRA
Marca,400,WULING
Marca,419,DFM
Marca,429,ZOTYE
Marca,453,FAW
Marca,621,LINCOLN
Marca,637,MINI
Marca,655,RANGE ROVER
Marca,1035,SHELBY
Marca,1050,DFSK
Marca,2426,ACURA INTEGRA